[AgePredModel] load_data: start loading...
[AgePredModel] load_data: Done! Get 339123 for train and 18660 for test!
[AgePredModel] load_data: loading finished !
[AgePredModel] train_model: start training...
[train_model] best weight file found, try to load ...
[train_model] Weights Load Successfull!
Epoch 0/127
----------
0.1% 44000/339123 		 Gender Loss 0.4801 		 Age MAE 7.70 		 Acc 0.7975 		 ETA 1267s
0.1% 44400/339123 		 Gender Loss 0.4531 		 Age MAE 7.11 		 Acc 0.8275 		 ETA 1265s
0.1% 44800/339123 		 Gender Loss 0.4762 		 Age MAE 8.14 		 Acc 0.7975 		 ETA 1263s
0.1% 45200/339123 		 Gender Loss 0.4945 		 Age MAE 8.12 		 Acc 0.7925 		 ETA 1261s
0.1% 45600/339123 		 Gender Loss 0.4514 		 Age MAE 7.35 		 Acc 0.8225 		 ETA 1259s
0.1% 46000/339123 		 Gender Loss 0.4484 		 Age MAE 6.89 		 Acc 0.8225 		 ETA 1258s
0.1% 46400/339123 		 Gender Loss 0.4556 		 Age MAE 7.01 		 Acc 0.8125 		 ETA 1256s
0.1% 46800/339123 		 Gender Loss 0.4869 		 Age MAE 7.91 		 Acc 0.7975 		 ETA 1254s
0.1% 47200/339123 		 Gender Loss 0.4955 		 Age MAE 7.91 		 Acc 0.7750 		 ETA 1252s
0.1% 47600/339123 		 Gender Loss 0.4809 		 Age MAE 7.68 		 Acc 0.8075 		 ETA 1250s
0.1% 48000/339123 		 Gender Loss 0.5057 		 Age MAE 7.53 		 Acc 0.7775 		 ETA 1248s
0.1% 48400/339123 		 Gender Loss 0.4726 		 Age MAE 7.70 		 Acc 0.8100 		 ETA 1246s
0.1% 48800/339123 		 Gender Loss 0.4750 		 Age MAE 7.89 		 Acc 0.7975 		 ETA 1244s
0.1% 49200/339123 		 Gender Loss 0.4874 		 Age MAE 7.87 		 Acc 0.7775 		 ETA 1243s
0.1% 49600/339123 		 Gender Loss 0.4447 		 Age MAE 7.86 		 Acc 0.8450 		 ETA 1241s
